claim_id,customer_id,policy_type,premium_amount,claim_amount,incident_type,incident_severity,claim_date,settlement_days,region,policy_tenure_years,customer_age,fraud_reported,claim_status
CL200256,CU300256,Home,1993.48,3168.43,Weather,Minor,2025-08-30,12,BC,13,25,0,Rejected
CL200257,CU300257,Home,643.46,18650.16,Weather,Total Loss,2025-08-17,24,ON,7,37,0,Rejected
CL200258,CU300258,Auto,1613.77,17102.7,Injury,Major,2025-07-26,41,QC,9,43,0,Approved
CL200259,CU300259,Health,1406.4,9417.52,Weather,Moderate,2025-04-08,35,AB,13,23,0,Approved
CL200260,CU300260,Auto,1364.24,1928.26,Injury,Minor,2025-04-11,31,QC,8,55,0,Approved
CL200261,CU300261,Life,1463.13,2248.08,Weather,Minor,2025-07-17,30,BC,6,55,1,Approved
CL200262,CU300262,Health,1091.43,2228.48,Theft,Minor,2025-02-15,22,ON,11,64,0,Approved
CL200263,CU300263,Life,1637.35,2899.03,Injury,Minor,2025-10-01,30,QC,5,19,0,Approved
CL200264,CU300264,Health,1475.48,3987.5,Collision,Moderate,2025-07-13,24,ON,6,24,0,Approved
CL200265,CU300265,Auto,1842.83,21155.6,Injury,Major,2025-01-30,49,ON,14,31,0,Pending
CL200266,CU300266,Auto,2117.96,5779.31,Collision,Moderate,2025-03-04,13,SK,7,44,0,Pending
CL200267,CU300267,Health,1503.31,6977.78,Fire,Moderate,2025-11-29,27,AB,4,53,0,Pending
CL200268,CU300268,Auto,1106.14,29985.15,Injury,Total Loss,2025-01-03,20,ON,13,30,0,Approved
CL200269,CU300269,Health,972.08,21022.82,Weather,Major,2024-03-20,37,SK,10,40,0,Approved
CL200270,CU300270,Auto,2163.27,6958.76,Collision,Moderate,2025-09-07,6,MB,12,49,0,Approved
CL200271,CU300271,Auto,2109.56,9823.25,Theft,Moderate,2024-01-03,10,ON,5,51,0,Approved
CL200272,CU300272,Home,1822.7,8939.28,Injury,Moderate,2024-06-29,9,BC,12,50,0,Rejected
CL200273,CU300273,Health,1475.14,5441.17,Water Damage,Moderate,2024-08-28,23,BC,15,56,0,Approved
CL200274,CU300274,Home,1792.37,3455.71,Fire,Minor,2024-01-19,24,MB,3,63,0,Approved
CL200275,CU300275,Home,1997.88,7626.04,Collision,Moderate,2024-06-07,43,QC,3,68,0,Approved
CL200276,CU300276,Auto,1190.46,7332.97,Theft,Moderate,2024-05-08,20,BC,9,75,0,Approved
CL200277,CU300277,Health,1462.51,3093.75,Fire,Minor,2025-02-08,28,AB,11,42,0,Approved
CL200278,CU300278,Home,985.38,12752.61,Collision,Major,2025-10-04,32,QC,1,38,1,Approved
CL200279,CU300279,Home,1395.79,11047.63,Injury,Major,2024-07-23,37,ON,9,35,0,Approved
CL200280,CU300280,Auto,2098.59,7048.89,Fire,Moderate,2024-10-12,22,SK,2,39,0,Approved
CL200281,CU300281,Home,1902.99,2075.59,Theft,Minor,2025-05-17,31,ON,15,50,0,Approved
CL200282,CU300282,Auto,1506.7,3951.6,Theft,Minor,2025-05-07,12,ON,11,54,0,Approved
CL200283,CU300283,Home,450.0,5501.93,Collision,Moderate,2025-11-21,2,BC,15,23,0,Pending
CL200284,CU300284,Auto,1174.57,18202.85,Fire,Major,2025-01-16,35,ON,4,77,0,Approved
CL200285,CU300285,Health,1493.01,7376.25,Fire,Moderate,2025-07-15,5,BC,12,21,0,Approved
CL200286,CU300286,Health,1359.32,3361.89,Theft,Minor,2025-09-09,33,AB,6,42,0,Approved
CL200287,CU300287,Home,1463.76,1803.81,Weather,Minor,2024-11-02,16,BC,2,45,0,Approved
CL200288,CU300288,Health,1551.89,1371.55,Theft,Minor,2025-09-02,12,BC,8,39,0,Approved
CL200289,CU300289,Health,1225.85,9733.09,Weather,Moderate,2025-12-20,45,QC,8,31,0,Approved
CL200290,CU300290,Auto,1446.84,7157.82,Water Damage,Moderate,2024-03-28,21,BC,8,50,0,Rejected
CL200291,CU300291,Health,1387.23,3066.82,Theft,Minor,2025-07-16,19,ON,13,19,0,Approved
CL200292,CU300292,Life,1154.65,8679.13,Theft,Moderate,2025-03-30,28,QC,5,62,0,Approved
CL200293,CU300293,Auto,2225.46,23191.24,Injury,Major,2025-08-14,38,AB,10,59,0,Pending
CL200294,CU300294,Auto,1249.89,6259.39,Theft,Moderate,2025-02-04,31,ON,3,64,0,Approved
CL200295,CU300295,Home,503.23,2045.75,Theft,Minor,2024-05-29,9,MB,14,67,0,Approved
CL200296,CU300296,Auto,2198.97,3087.34,Injury,Moderate,2024-11-09,26,ON,7,71,0,Approved
CL200297,CU300297,Home,1094.56,12985.7,Weather,Major,2025-05-16,28,ON,12,27,0,Approved
CL200298,CU300298,Home,1827.96,2543.51,Water Damage,Minor,2025-10-16,13,MB,5,68,1,Approved
CL200299,CU300299,Health,1164.03,2009.02,Fire,Minor,2024-02-21,21,SK,5,52,0,Rejected
CL200300,CU300300,Auto,1689.1,4763.83,Fire,Moderate,2024-05-17,5,MB,15,26,0,Approved
CL200301,CU300301,Auto,1429.78,2535.3,Collision,Minor,2024-06-20,29,ON,3,77,0,Approved
CL200302,CU300302,Health,1870.14,24768.43,Collision,Major,2025-03-07,28,ON,9,66,1,Rejected
CL200303,CU300303,Auto,1360.24,6890.21,Fire,Moderate,2024-01-12,17,ON,5,34,0,Approved
CL200304,CU300304,Home,1174.77,1707.03,Collision,Minor,2025-11-26,20,BC,6,71,0,Approved
CL200305,CU300305,Auto,1557.95,24413.02,Theft,Major,2025-05-29,29,ON,11,62,0,Rejected
CL200306,CU300306,Auto,1289.35,5482.73,Collision,Moderate,2025-10-22,31,MB,12,45,0,Approved
CL200307,CU300307,Home,639.75,9899.57,Collision,Moderate,2024-01-16,11,BC,8,28,0,Pending
CL200308,CU300308,Auto,1197.37,2315.81,Fire,Minor,2024-07-19,18,MB,10,62,0,Approved
CL200309,CU300309,Health,2654.88,7202.14,Weather,Moderate,2024-11-23,19,SK,1,73,0,Approved
CL200310,CU300310,Home,685.02,25866.9,Theft,Major,2025-07-16,21,BC,4,30,0,Rejected
CL200311,CU300311,Health,1551.24,1553.95,Injury,Minor,2025-04-18,22,AB,12,19,0,Approved
CL200312,CU300312,Health,1347.98,4941.79,Collision,Moderate,2024-11-01,14,SK,10,32,0,Pending
CL200313,CU300313,Auto,2221.3,29074.13,Collision,Total Loss,2024-08-10,18,AB,1,36,0,Pending
CL200314,CU300314,Auto,983.36,6725.66,Water Damage,Moderate,2024-08-29,26,QC,14,41,0,Approved
CL200315,CU300315,Health,1492.55,4349.45,Water Damage,Minor,2024-09-25,35,AB,7,76,0,Pending
CL200316,CU300316,Auto,1738.2,1878.36,Theft,Minor,2025-05-18,21,BC,5,75,0,Rejected
CL200317,CU300317,Auto,1374.7,4443.67,Theft,Moderate,2025-09-25,20,BC,7,58,0,Pending
CL200318,CU300318,Auto,1127.63,5165.76,Injury,Moderate,2024-12-13,20,BC,6,31,0,Approved
CL200319,CU300319,Health,1440.68,2662.49,Fire,Minor,2025-10-20,16,SK,8,31,0,Approved
CL200320,CU300320,Auto,1320.01,2844.43,Collision,Minor,2024-08-06,32,AB,3,23,0,Approved
CL200321,CU300321,Auto,1318.83,5614.11,Collision,Moderate,2025-09-18,22,AB,3,65,0,Approved
CL200322,CU300322,Home,1840.9,7041.23,Collision,Moderate,2024-01-01,2,QC,15,32,0,Rejected
CL200323,CU300323,Health,1619.24,3861.64,Injury,Minor,2025-07-01,32,SK,12,71,0,Rejected
CL200324,CU300324,Auto,1681.74,7068.93,Weather,Moderate,2025-11-24,30,ON,6,54,1,Approved
CL200325,CU300325,Health,1588.72,7629.14,Collision,Moderate,2024-07-21,26,QC,13,47,0,Approved
CL200326,CU300326,Home,1853.15,3822.29,Collision,Minor,2025-05-12,2,AB,12,73,0,Rejected
CL200327,CU300327,Auto,1997.79,2011.38,Collision,Minor,2024-02-24,21,MB,11,28,0,Approved
CL200328,CU300328,Auto,1329.58,14152.42,Injury,Major,2025-09-13,39,QC,11,46,0,Approved
CL200329,CU300329,Auto,1794.18,15632.8,Water Damage,Major,2024-12-22,34,MB,15,34,0,Approved
CL200330,CU300330,Auto,905.6,2130.46,Fire,Minor,2024-11-06,23,ON,13,29,0,Approved
CL200331,CU300331,Health,503.72,8822.09,Injury,Major,2025-11-05,39,SK,4,74,0,Rejected
CL200332,CU300332,Auto,2217.09,7270.47,Collision,Moderate,2025-11-06,22,ON,11,54,0,Approved
CL200333,CU300333,Life,1309.99,33943.79,Weather,Total Loss,2024-06-12,42,QC,3,28,0,Approved
CL200334,CU300334,Auto,1556.04,30334.71,Theft,Total Loss,2025-12-01,32,QC,8,25,0,Pending
CL200335,CU300335,Auto,935.41,7485.04,Collision,Moderate,2024-06-01,22,BC,2,37,0,Pending
CL200336,CU300336,Home,916.04,7505.89,Fire,Moderate,2025-08-15,29,SK,3,68,0,Rejected
CL200337,CU300337,Health,1150.56,1578.69,Injury,Minor,2025-07-23,17,QC,11,27,0,Pending
CL200338,CU300338,Auto,1720.02,7565.73,Collision,Moderate,2025-01-02,11,MB,6,62,0,Approved
CL200339,CU300339,Auto,1233.05,8094.68,Fire,Moderate,2025-03-08,21,ON,3,25,0,Rejected
CL200340,CU300340,Home,1308.97,3869.68,Injury,Moderate,2024-10-14,26,MB,15,38,0,Approved
CL200341,CU300341,Auto,1137.31,3524.18,Injury,Minor,2024-10-22,29,BC,15,49,0,Approved
CL200342,CU300342,Home,1939.63,11771.59,Fire,Major,2025-01-10,39,SK,4,26,0,Approved
CL200343,CU300343,Health,1814.78,21801.39,Collision,Total Loss,2025-09-21,30,AB,9,42,0,Approved
CL200344,CU300344,Auto,1246.66,2641.37,Injury,Minor,2024-12-18,19,ON,5,34,0,Approved
CL200345,CU300345,Health,1737.33,8048.01,Collision,Moderate,2025-03-01,16,AB,13,21,0,Pending
CL200346,CU300346,Auto,1347.0,21919.46,Collision,Major,2025-05-31,33,QC,11,19,0,Approved
CL200347,CU300347,Health,1308.23,8099.54,Collision,Moderate,2025-11-02,6,ON,7,27,0,Approved
CL200348,CU300348,Life,1429.12,27343.46,Theft,Total Loss,2025-09-20,31,MB,14,63,1,Rejected
CL200349,CU300349,Home,1720.16,7212.78,Weather,Moderate,2024-09-25,47,MB,12,21,0,Pending
CL200350,CU300350,Life,1075.28,2278.33,Injury,Minor,2025-09-22,7,ON,3,48,0,Pending
CL200351,CU300351,Health,1661.01,7341.55,Fire,Moderate,2024-11-20,22,QC,7,20,0,Pending
CL200352,CU300352,Auto,2499.08,7134.18,Water Damage,Moderate,2024-03-09,24,QC,13,31,0,Approved
CL200353,CU300353,Auto,1526.91,2146.56,Weather,Minor,2024-02-24,26,ON,9,29,0,Approved
CL200354,CU300354,Auto,1465.0,16250.02,Weather,Major,2024-05-29,22,ON,2,39,0,Pending
CL200355,CU300355,Home,1414.65,3369.68,Collision,Moderate,2024-09-25,26,BC,12,62,0,Pending
CL200356,CU300356,Home,1650.85,8627.05,Collision,Moderate,2024-10-19,16,AB,8,43,0,Approved
CL200357,CU300357,Home,773.63,7583.21,Weather,Moderate,2024-05-11,8,ON,4,19,0,Approved
CL200358,CU300358,Health,2164.46,2478.91,Injury,Moderate,2024-05-10,30,ON,13,27,0,Approved
CL200359,CU300359,Auto,1862.1,8554.59,Collision,Moderate,2024-01-24,27,ON,14,36,0,Approved
CL200360,CU300360,Auto,1179.3,6896.07,Fire,Moderate,2025-10-27,12,SK,9,35,0,Approved
CL200361,CU300361,Auto,1463.25,1844.22,Theft,Minor,2024-07-05,16,AB,11,52,0,Approved
CL200362,CU300362,Life,1215.91,12831.86,Theft,Major,2025-04-18,26,MB,4,39,0,Approved
CL200363,CU300363,Auto,1575.68,14531.36,Collision,Major,2024-12-24,16,QC,12,62,0,Approved
CL200364,CU300364,Auto,1475.77,5174.21,Collision,Moderate,2024-09-20,28,QC,14,33,0,Approved
CL200365,CU300365,Auto,1546.03,5437.51,Theft,Moderate,2024-06-29,28,ON,4,58,0,Approved
CL200366,CU300366,Life,1018.1,47237.68,Injury,Total Loss,2024-02-16,28,BC,15,24,0,Approved
CL200367,CU300367,Auto,1247.75,2759.79,Injury,Minor,2024-03-20,21,MB,2,77,0,Approved
CL200368,CU300368,Home,1931.34,3925.21,Collision,Minor,2025-05-09,22,QC,7,77,0,Approved
CL200369,CU300369,Auto,1225.81,2658.02,Collision,Minor,2024-11-25,23,MB,2,35,0,Approved
CL200370,CU300370,Auto,450.0,8135.36,Fire,Moderate,2025-12-07,9,BC,7,32,0,Rejected
CL200371,CU300371,Health,1386.74,1883.51,Collision,Minor,2024-04-17,25,ON,10,19,0,Approved
CL200372,CU300372,Home,2462.83,6670.66,Injury,Moderate,2025-11-10,10,ON,14,76,0,Pending
CL200373,CU300373,Health,1806.53,6839.91,Fire,Moderate,2024-03-03,27,ON,3,21,0,Approved
CL200374,CU300374,Auto,1204.66,2934.06,Injury,Minor,2025-06-18,11,QC,14,19,0,Approved
CL200375,CU300375,Life,1428.75,6903.01,Collision,Moderate,2025-12-01,9,AB,15,24,0,Approved
CL200376,CU300376,Home,1735.54,2745.93,Water Damage,Minor,2024-04-22,21,AB,1,36,0,Approved
CL200377,CU300377,Life,712.37,7618.43,Injury,Moderate,2024-12-13,21,AB,15,76,0,Approved
CL200378,CU300378,Auto,1090.46,2288.0,Injury,Minor,2025-11-02,22,AB,14,28,0,Approved
CL200379,CU300379,Auto,1617.31,2216.02,Water Damage,Minor,2025-08-08,13,BC,1,52,0,Approved
CL200380,CU300380,Auto,2119.68,2031.7,Fire,Minor,2024-06-08,23,AB,1,57,0,Rejected
CL200381,CU300381,Health,1265.48,9121.32,Collision,Moderate,2024-05-04,24,ON,11,66,0,Approved
CL200382,CU300382,Health,2108.15,2288.3,Fire,Minor,2024-09-03,31,QC,7,60,0,Pending
CL200383,CU300383,Home,1133.18,7644.64,Injury,Moderate,2024-12-02,23,QC,4,77,0,Approved
CL200384,CU300384,Auto,450.0,17210.96,Injury,Major,2024-08-02,26,ON,7,58,0,Approved
CL200385,CU300385,Auto,1762.4,9082.73,Fire,Moderate,2024-03-06,9,AB,6,68,0,Pending
CL200386,CU300386,Auto,1676.97,1108.34,Injury,Minor,2024-12-29,7,QC,15,37,0,Approved
CL200387,CU300387,Health,1759.2,7593.82,Collision,Moderate,2024-10-27,24,ON,4,43,0,Approved
CL200388,CU300388,Auto,1742.78,1621.56,Collision,Minor,2024-08-11,28,BC,2,62,1,Approved
CL200389,CU300389,Auto,1530.54,19969.14,Weather,Major,2025-08-26,23,ON,13,70,0,Approved
CL200390,CU300390,Auto,1341.3,17261.41,Theft,Major,2024-07-30,33,SK,13,19,0,Rejected
CL200391,CU300391,Auto,1357.31,4102.41,Collision,Moderate,2025-10-13,19,ON,14,44,0,Approved
CL200392,CU300392,Life,1256.63,2736.35,Injury,Minor,2024-01-09,27,SK,15,66,0,Approved
CL200393,CU300393,Auto,1281.84,7439.4,Fire,Moderate,2025-01-13,29,BC,1,25,1,Approved
CL200394,CU300394,Life,689.37,6546.81,Fire,Moderate,2025-11-24,2,AB,12,39,0,Approved
CL200395,CU300395,Health,939.99,2426.8,Collision,Minor,2024-07-28,30,AB,5,51,0,Approved
CL200396,CU300396,Home,1381.36,18814.02,Collision,Major,2025-04-23,33,QC,7,23,0,Approved
CL200397,CU300397,Home,508.84,3324.75,Injury,Minor,2025-06-19,16,ON,7,73,0,Approved
CL200398,CU300398,Health,606.71,16415.79,Injury,Major,2024-09-06,26,ON,15,40,0,Approved
CL200399,CU300399,Health,1309.6,23105.68,Collision,Major,2025-04-11,31,SK,8,65,0,Pending
CL200400,CU300400,Auto,1396.1,2473.78,Injury,Minor,2025-04-21,16,ON,4,44,0,Approved
CL200401,CU300401,Life,1318.39,3407.01,Injury,Minor,2024-12-09,13,AB,2,42,0,Pending
CL200402,CU300402,Auto,450.44,6539.12,Injury,Moderate,2024-10-01,15,QC,9,75,0,Approved
CL200403,CU300403,Auto,2102.01,14641.73,Weather,Major,2024-12-13,22,BC,13,69,0,Approved
CL200404,CU300404,Auto,846.78,1731.63,Theft,Minor,2024-04-18,33,ON,11,49,0,Rejected
CL200405,CU300405,Health,1106.37,2476.33,Injury,Minor,2024-12-26,22,MB,15,46,0,Approved
CL200406,CU300406,Auto,920.06,5445.38,Fire,Moderate,2024-08-25,41,ON,1,65,0,Approved
CL200407,CU300407,Auto,1995.59,3483.14,Collision,Minor,2024-09-04,24,BC,7,59,0,Approved
CL200408,CU300408,Auto,1627.0,1890.15,Theft,Minor,2024-06-28,26,ON,10,76,0,Approved
CL200409,CU300409,Auto,1251.24,14522.28,Theft,Major,2025-01-13,21,AB,13,38,0,Approved
CL200410,CU300410,Auto,1221.66,8138.92,Fire,Moderate,2024-01-06,19,BC,5,25,0,Approved
CL200411,CU300411,Health,1525.43,9324.15,Water Damage,Moderate,2024-02-11,22,ON,11,30,0,Approved
CL200412,CU300412,Auto,926.45,3011.73,Theft,Minor,2024-06-01,15,BC,4,50,0,Approved
CL200413,CU300413,Life,1609.91,9075.02,Collision,Moderate,2025-02-20,17,AB,9,37,0,Approved
CL200414,CU300414,Health,1219.57,6842.78,Water Damage,Moderate,2024-07-06,25,ON,12,66,0,Approved
CL200415,CU300415,Health,1668.25,6870.39,Collision,Moderate,2024-12-28,25,ON,13,70,0,Pending
CL200416,CU300416,Life,1654.0,50025.35,Collision,Total Loss,2024-04-18,19,ON,7,30,0,Pending
CL200417,CU300417,Auto,1200.68,3683.19,Injury,Minor,2024-11-03,24,SK,8,77,0,Approved
CL200418,CU300418,Home,587.86,8399.84,Water Damage,Moderate,2024-11-27,26,AB,14,56,1,Approved
CL200419,CU300419,Auto,1346.33,23577.3,Injury,Major,2024-08-24,26,AB,9,34,0,Pending
CL200420,CU300420,Auto,841.22,3100.97,Theft,Minor,2024-02-06,15,MB,6,30,0,Approved
CL200421,CU300421,Auto,1483.03,21194.47,Fire,Total Loss,2025-03-29,35,AB,5,28,0,Rejected
CL200422,CU300422,Health,1342.24,6922.28,Injury,Moderate,2024-05-28,2,SK,11,46,0,Pending
CL200423,CU300423,Health,1203.04,3547.74,Water Damage,Minor,2024-12-20,21,QC,11,23,0,Approved
CL200424,CU300424,Auto,905.86,3004.24,Collision,Minor,2025-06-01,36,ON,9,26,0,Pending
CL200425,CU300425,Health,1948.45,2455.49,Injury,Minor,2024-03-14,2,BC,3,63,0,Approved
CL200426,CU300426,Auto,1259.45,25604.14,Weather,Major,2025-05-10,38,ON,3,47,0,Approved
CL200427,CU300427,Auto,2438.41,35308.95,Collision,Total Loss,2024-09-30,36,MB,4,50,0,Rejected
CL200428,CU300428,Auto,1464.67,8480.94,Collision,Moderate,2025-01-02,8,AB,1,38,0,Pending
CL200429,CU300429,Home,1597.67,2762.17,Collision,Minor,2024-02-25,26,QC,8,51,0,Approved
CL200430,CU300430,Home,1466.47,8060.68,Water Damage,Moderate,2024-12-30,30,MB,7,39,0,Pending
CL200431,CU300431,Auto,1593.46,8200.83,Theft,Moderate,2024-10-03,10,QC,6,21,0,Approved
CL200432,CU300432,Auto,1908.93,3409.77,Injury,Minor,2024-05-10,15,AB,15,52,0,Pending
CL200433,CU300433,Home,1913.78,3500.97,Collision,Minor,2025-01-23,21,QC,4,23,0,Rejected
CL200434,CU300434,Health,708.02,6115.86,Injury,Moderate,2025-04-20,30,QC,13,59,0,Pending
CL200435,CU300435,Auto,1809.31,7696.8,Fire,Moderate,2024-10-12,16,AB,3,72,0,Approved
CL200436,CU300436,Health,1658.8,9491.18,Water Damage,Moderate,2025-04-08,21,MB,10,58,0,Approved
CL200437,CU300437,Home,1465.07,6742.14,Fire,Moderate,2024-09-06,15,AB,13,53,0,Pending
CL200438,CU300438,Home,2169.27,1583.77,Injury,Minor,2025-08-29,21,SK,13,75,0,Approved
CL200439,CU300439,Auto,2186.16,1863.95,Weather,Minor,2024-07-24,30,AB,9,31,0,Rejected
CL200440,CU300440,Life,1829.93,5354.43,Fire,Moderate,2025-08-05,22,BC,4,64,0,Approved
CL200441,CU300441,Home,1221.72,6101.97,Water Damage,Moderate,2024-10-05,18,QC,6,31,0,Approved
CL200442,CU300442,Auto,949.16,1977.64,Fire,Minor,2025-02-11,21,AB,7,19,0,Approved
CL200443,CU300443,Health,1766.85,23186.69,Water Damage,Major,2024-02-20,24,BC,13,33,0,Approved
CL200444,CU300444,Health,2021.0,6457.42,Collision,Moderate,2024-02-24,12,AB,6,48,0,Approved
CL200445,CU300445,Health,597.96,3382.77,Weather,Minor,2025-12-26,32,MB,13,22,0,Approved
CL200446,CU300446,Health,1906.24,1708.79,Water Damage,Minor,2024-01-06,36,AB,15,35,0,Rejected
CL200447,CU300447,Auto,1342.96,28834.23,Water Damage,Total Loss,2025-02-09,15,ON,2,21,0,Approved
CL200448,CU300448,Health,690.22,7204.38,Fire,Moderate,2024-11-29,26,ON,15,33,0,Approved
CL200449,CU300449,Auto,1647.15,3067.46,Fire,Minor,2025-04-09,29,ON,9,61,0,Approved
CL200450,CU300450,Health,1831.94,9241.51,Injury,Moderate,2024-01-03,10,ON,10,27,0,Approved
CL200451,CU300451,Auto,1302.43,2123.18,Theft,Minor,2024-05-13,17,BC,5,34,0,Approved
CL200452,CU300452,Auto,1005.91,23006.83,Water Damage,Major,2024-09-04,26,SK,6,27,0,Pending
CL200453,CU300453,Auto,2169.08,9523.26,Collision,Major,2025-11-05,48,QC,9,41,0,Approved
CL200454,CU300454,Health,1169.17,22391.51,Collision,Major,2024-09-12,46,SK,3,63,0,Approved
CL200455,CU300455,Home,1936.98,4371.51,Injury,Moderate,2025-02-20,13,QC,11,50,0,Approved
CL200456,CU300456,Health,814.52,7875.42,Theft,Moderate,2025-02-22,8,MB,11,30,0,Approved
CL200457,CU300457,Auto,1624.72,3290.43,Theft,Minor,2024-10-29,28,SK,1,37,0,Approved
CL200458,CU300458,Auto,1612.75,22471.64,Theft,Major,2025-08-28,36,ON,4,58,0,Approved
CL200459,CU300459,Home,1816.83,1352.58,Water Damage,Minor,2025-06-04,32,MB,8,47,0,Approved
CL200460,CU300460,Auto,2077.05,2186.94,Weather,Minor,2024-11-20,11,AB,12,46,0,Pending
CL200461,CU300461,Health,1108.28,38423.72,Water Damage,Total Loss,2024-08-10,38,AB,5,70,0,Approved
CL200462,CU300462,Life,1668.73,38167.12,Theft,Total Loss,2024-07-21,24,ON,14,67,1,Approved
CL200463,CU300463,Home,876.04,7540.83,Theft,Moderate,2025-11-13,27,ON,9,33,1,Approved
CL200464,CU300464,Auto,871.28,2684.85,Collision,Moderate,2024-04-01,21,ON,9,60,0,Pending
CL200465,CU300465,Home,1207.1,3338.63,Theft,Minor,2024-05-03,38,ON,2,65,0,Rejected
CL200466,CU300466,Life,1621.92,9697.47,Collision,Moderate,2024-07-10,25,ON,10,72,0,Approved
CL200467,CU300467,Health,2154.28,2614.62,Collision,Minor,2025-08-31,18,MB,13,34,0,Approved
CL200468,CU300468,Health,2230.76,2660.0,Theft,Minor,2025-05-17,22,ON,4,61,0,Approved
CL200469,CU300469,Auto,1300.95,7986.0,Injury,Moderate,2025-12-06,20,BC,9,30,0,Approved
CL200470,CU300470,Health,1578.32,25360.63,Theft,Major,2025-06-10,21,QC,1,45,0,Approved
CL200471,CU300471,Auto,1846.06,34244.97,Fire,Total Loss,2024-12-24,48,ON,4,23,0,Approved
CL200472,CU300472,Health,1771.46,30287.08,Theft,Total Loss,2024-01-30,45,MB,2,54,0,Approved
CL200473,CU300473,Health,1378.83,19922.86,Fire,Major,2025-10-01,29,BC,12,59,0,Pending
CL200474,CU300474,Life,1481.96,2492.22,Injury,Minor,2025-05-03,27,AB,15,45,0,Approved
CL200475,CU300475,Auto,1403.72,2500.17,Injury,Minor,2024-02-22,39,SK,1,43,0,Approved
CL200476,CU300476,Health,1362.48,3538.92,Injury,Moderate,2025-12-09,32,AB,11,33,0,Approved
CL200477,CU300477,Auto,1306.61,2865.98,Collision,Minor,2025-03-29,18,QC,9,64,0,Approved
CL200478,CU300478,Home,1399.74,9296.05,Theft,Moderate,2025-03-28,20,BC,11,72,0,Approved
CL200479,CU300479,Health,1279.56,8999.93,Injury,Moderate,2024-09-17,6,ON,8,26,0,Pending
CL200480,CU300480,Home,973.12,22793.0,Water Damage,Major,2024-08-29,38,MB,15,35,0,Pending
CL200481,CU300481,Auto,1812.28,6896.12,Fire,Moderate,2024-09-22,32,ON,1,54,0,Approved
CL200482,CU300482,Health,1666.83,7285.53,Fire,Moderate,2024-02-06,32,AB,3,40,0,Approved
CL200483,CU300483,Home,2238.17,24004.67,Injury,Major,2024-11-24,37,QC,4,19,0,Approved
CL200484,CU300484,Home,1605.2,8700.01,Water Damage,Moderate,2024-02-15,24,AB,12,20,0,Approved
CL200485,CU300485,Home,1274.88,3540.45,Theft,Minor,2025-03-11,12,BC,2,32,0,Pending
CL200486,CU300486,Health,1186.9,5681.48,Collision,Moderate,2024-05-31,24,ON,2,76,0,Pending
CL200487,CU300487,Auto,1469.89,5669.25,Injury,Moderate,2025-03-25,15,ON,11,54,0,Pending
CL200488,CU300488,Auto,1682.21,2267.2,Injury,Minor,2024-09-29,26,ON,7,34,0,Approved
CL200489,CU300489,Home,1347.22,5151.66,Collision,Moderate,2024-07-22,14,ON,11,22,0,Rejected
CL200490,CU300490,Health,832.49,11339.87,Theft,Major,2024-04-15,36,ON,6,63,0,Rejected
CL200491,CU300491,Auto,1139.62,2828.05,Fire,Minor,2024-10-07,33,ON,2,41,0,Approved
CL200492,CU300492,Auto,1457.57,7785.08,Injury,Moderate,2024-02-20,24,MB,9,42,0,Approved
CL200493,CU300493,Life,1760.92,2672.36,Injury,Minor,2024-07-01,24,AB,2,52,0,Pending
CL200494,CU300494,Health,825.95,7693.34,Collision,Moderate,2024-12-04,29,SK,8,32,0,Approved
CL200495,CU300495,Home,1561.34,18885.14,Collision,Total Loss,2025-04-06,47,ON,14,61,0,Approved
CL200496,CU300496,Health,1542.87,2163.96,Injury,Minor,2024-12-01,20,ON,3,37,0,Approved
CL200497,CU300497,Life,1260.34,16520.92,Collision,Major,2024-03-15,36,QC,4,60,0,Approved
CL200498,CU300498,Home,1203.49,18244.47,Fire,Major,2025-06-10,45,ON,15,49,0,Pending
CL200499,CU300499,Auto,1140.74,1478.17,Fire,Minor,2024-11-05,27,ON,5,27,0,Pending
CL200500,CU300500,Home,1509.14,13323.93,Theft,Major,2025-04-02,13,MB,6,55,0,Rejected
CL200501,CU300501,Life,1923.26,28089.15,Injury,Total Loss,2025-12-15,25,MB,11,23,0,Approved
CL200502,CU300502,Health,1953.07,41482.24,Collision,Total Loss,2024-02-05,38,ON,2,61,0,Pending
CL200503,CU300503,Auto,977.93,7513.27,Injury,Moderate,2025-12-22,17,QC,1,41,0,Approved
CL200504,CU300504,Life,1371.47,3215.1,Weather,Minor,2025-11-25,34,ON,13,58,0,Approved
CL200505,CU300505,Health,528.73,2414.3,Fire,Minor,2025-01-13,38,QC,15,33,0,Rejected
CL200506,CU300506,Auto,1495.86,2500.69,Injury,Minor,2024-01-20,16,AB,15,43,0,Pending
CL200507,CU300507,Life,1701.01,7978.19,Collision,Moderate,2024-06-29,12,AB,1,37,0,Approved
CL200508,CU300508,Health,2109.8,6652.67,Injury,Moderate,2024-06-13,18,ON,8,33,0,Approved
CL200509,CU300509,Health,699.69,5775.54,Collision,Moderate,2025-03-01,17,BC,13,39,0,Approved
CL200510,CU300510,Life,993.01,10491.48,Water Damage,Major,2025-05-19,45,QC,13,22,0,Approved
CL200511,CU300511,Auto,1510.54,2081.46,Collision,Minor,2024-12-22,12,AB,6,42,0,Approved
CL200512,CU300512,Health,770.28,22214.38,Fire,Major,2024-09-16,38,AB,8,26,0,Approved
CL200513,CU300513,Auto,1522.33,3382.47,Collision,Minor,2024-02-01,33,QC,3,49,0,Pending
